"customer_id","user_id","clean_name","age","age_range","gender","clean_email","clean_phone_number","clean_city","clean_state","signup_date","preferred_contact_method"
10154493,85329037,Donald Hebert,26.0,"16-30",Male,ace2305@@icloud.com,"347-776-9540",Austin,TX,"2024-11-25",Email
10209961,91823275,Nathan Garcia,27.0,"16-30",Male,ranger9812@hotmail.com,"767-554-9536",San Antonio,TX,"2024-05-14",Email
10344303,32969840,Diane Sanchez,40.0,"31-50",Female,toddsanchez@icloud.com,"718-969-8688",San Jose,CA,"",SMS
10380581,92097999,Ralph Lopez,47.0,"31-50",Male,david_lopez@icloud.com,"922-231-8925",Charlotte,NC,"2018-10-31",SMS
10704803,43887075,Trevor Little,25.0,"16-30",Male,joshua.little@gmail.com,,New York,NY,"2019-09-08",Email
10819505,35748341,Stanley Perez,81.0,"71+",Male,steven.perez@gmail.com,"888-363-7808",Nashville,TN,"2025-01-21",""
11031743,98054615,Teresa Lewis,30.0,"16-30",Female,hannah28@icloud.com,"836-372-3452",Detroit,MI,"2024-11-29",Push Notification
11037490,84813739,Zachary Oliver,67.0,"51-70",Male,poliver@hotmail.com,,Detroit,MI,"2023-11-17",Email
11086890,40728046,"",29.0,"16-30",Other,steven57@yahoo.com,"846-220-4365",Houston,TX,"2019-05-09",SMS
11261301,32162965,"",70.0,"51-70",Male,rachel87@hotmail.com,"960-272-2060",Houston,TX,"2024-07-15",SMS
11835355,60806024,Joshua Ashley,69.0,"51-70",Male,,"384-978-1579",San Francisco,CA,"2020-12-16",Push Notification
11868130,11980765,Mary Johnson,93.0,"71+",Female,jose.johnson@aol.com,"546-532-8756",Philadelphia,PA,"2023-05-16",SMS
11994519,25492573,Angela Wright,34.0,"31-50",Female,rwright@yahoo.com,"744-180-4504",Houston,TX,"2024-07-03",Email
12059919,22201654,Christopher Thomas,54.0,"51-70",Male,tina.thomas@gmail.com,"952-172-5979",Seattle,WA,"2022-09-20",""
12118101,47816686,Gabriel Poole,30.0,"16-30",Male,cynthiapoole@yahoo.com,"432-955-4084",Detroit,MI,"2023-07-26",SMS
12179995,41329612,William Waller,69.0,"51-70",Male,george7@gmail.com,"422-569-1105",Charlotte,"","2020-12-02",Push Notification
12205915,69421007,Vanessa Anthony,,"71+",Female,amy_anthony@yahoo.com,"205-923-9918",Las Vegas,NV,"2025-02-02",SMS
12446861,53258988,Gavin Velazquez,43.0,"31-50",Male,amy42@hotmail.com,"875-698-3757",Indianapolis,IN,"",SMS
12515446,69849511,"",38.0,"31-50",Male,michael_duncan@gmail.com,"309-191-7729",Columbus,OH,"2026-03-21",Email
12550658,25312516,"",89.0,"71+",Male,kimberly93@outlook.com,"758-877-5558",Denver,CO,"",Email
12729224,73070585,Ryan Oliver,45.0,"31-50","",,"652-333-2637",Jacksonville,"","2022-05-17",""
12799319,69038700,Denise Ruiz,31.0,"31-50",Female,william.ruiz@gmail.com,"338-882-6177",Phoenix,AZ,"2019-12-21",Push Notification
12866549,23419256,Catherine Ingram,23.0,"16-30",Female,claireingram@icloud.com,"870-350-9631",Las Vegas,"","2020-08-03",SMS
12944682,10965138,Derrick Harper,73.0,"71+",Male,james57@icloud.com,"306-745-8074",New York,NY,"2020-06-05",SMS
13358751,45594951,"",89.0,"71+",Female,laurapruitt@hotmail.com,"533-869-7551",San Antonio,TX,"2020-12-24",Push Notification
13460153,28024248,"",26.0,"16-30",Other,molly_king@@outlook.com,"577-739-7607",Seattle,WA,"2020-12-21",SMS
13523729,50308572,Austin Walsh,40.0,"31-50",Male,david_walsh@icloud.com,"425-354-8607",Detroit,MI,"2025-08-07",Email
13579612,40532273,April Rivera,50.0,"31-50","",april_rivera@gmail.com,"693-244-3958",Chicago,IL,"2021-03-25",Push Notification
13783268,49209916,Christopher Ochoa,54.0,"51-70",Male,,"683-807-3720",Charlotte,NC,"",""
13874790,56164955,Mark Floyd,85.0,"71+",Male,jennifer_floyd@gmail.com,"842-902-8529",Austin,TX,"2025-12-13",Email
13885234,95758349,Michael Lee,57.0,"51-70",Male,michaellee@icloud.com,"643-725-5466",Columbus,OH,"2020-02-21",""
13886030,64813568,Alexa Thomas,58.0,"51-70",Female,phillip89@icloud.com,,San Jose,CA,"2023-12-31",Email
14114726,83542887,"",30.0,"16-30",Female,debramerritt@gmail.com,"935-213-1225",Detroit,MI,"2021-11-21",SMS
14180968,85283645,Jill Spencer,26.0,"16-30",Female,jessica_spencer@gmail.com,"700-106-6229",Seattle,WA,"2023-02-12",Push Notification
14391105,21003626,Frederick Perry,30.0,"16-30",Male,cindy.perry@gmail.com,"798-571-2964",Austin,TX,"2021-09-09",""
14478111,67854710,Crystal Lawrence,34.0,"31-50",Female,llawrence@gmail.com,"403-390-3853",Phoenix,"","2025-06-24",Email
14818295,96028436,Shannon King,56.0,"51-70",Female,tammy.king@gmail.com,"360-742-8546","","","",""
14915156,43603811,Roberto F. Lamb,19.0,"16-30",Male,ace9975@gmail.com,"728-421-3535",Denver,CO,"2020-02-25",SMS
14925405,66629388,Ashley Lopez,101.0,"71+",Female,sunny4745@hotmail.com,"788-792-9899",San Antonio,TX,"2025-02-11",SMS
14963880,50814428,Anthony Horne,19.0,"16-30",Male,annahorne@icloud.com,"531-624-6747",Nashville,TN,"",Email
14968688,45264581,Molly Davis,41.0,"31-50",Female,christopher_davis@yahoo.com,"607-636-2363","",NV,"2022-04-14",Email
14994527,17672593,Charles Andrews,52.0,"51-70",Male,tammyandrews@icloud.com,"494-213-3554",Detroit,MI,"2019-09-01",Email
15047559,71028710,"",32.0,"31-50",Female,,"654-998-1303",San Antonio,TX,"2021-04-11",SMS
15066382,38470244,Charles Butler,,"71+",Male,,"202-304-8352",Nashville,TN,"2026-05-24",Email
15140967,48163378,Emily Lyons,45.0,"31-50",Female,daniellyons@icloud.com,"502-980-8023",Las Vegas,NV,"2018-11-14",""
