customer_id,user_id,name,age,gender,email,phone_number,city,state,signup_date,preferred_contact_method
53091709,95822412,Maria Wallace,58.0,Female,connor_wallace@outlook.com,232-246-8179,Columbus,OH,2018-09-06,Email
99943797,24942603,Jesus Lee,28.0,Male,reneelee@icloud.com,,,CA,2026-04-16,SMS
24039158,13356886,William Rodriguez,63.0,Other,,325-305-3275,San Jose,CA,2022-07-19,Email
31585546,46913810,,60.0,,john68@yahoo.com,332-999-3981,Columbus,OH,,Email
54265498,42868828,,35.0,,,778-142-1464,Phoenix,AZ,2022-12-06,Email
65250068,39958838,,20.0,Male,randall39@gmail.com,952-981-6658,Las Vegas,NV,2023-08-05,SMS
76500726,28728463,JOHN DILLON,30.0,Male,john79@gmail.com,516-609-1379,Philadelphia,PA,,Email
48683937,23756669,Sheri Brown,91.0,Female,jeffrey.brown@gmail.com,784-675-4189,Columbus,OH,2026-04-21,SMS
98930456,83197857,Whitney Potter,46.0,Female,juliapotter@gmail.com,353-720-9446,Boston,MA,,Email
63747791,21668732,Robert Jackson,44.0,,robert_jackson@gmail.com,872-901-4728,Portland,OR,,Push Notification
83832717,89254563,Rebecca Patel,23.0,Female,katherine41@gmail.com,+1 775 432 8837,Columbus,OH,2018-08-29,Push Notification
14925405,66629388,Ashley Lopez,101.0,Female,sunny4745@hotmail.com,788-792-9899,San Antonio,TX,2025-02-11,SMS
71045700,14265799,Ricardo Anderson,87.0,Male,jamieanderson@gmail.com,886-643-4697,Seattle,WA,2022-11-24,
21819185,13999315,Alexa Delgado,26.0,Female,tammydelgado@yahoo.com,628-957-3880,Austin,TX,2018-11-03,Email
52213778,22575562,,,,coliver@icloud.com,949-569-5215,Indianapolis,IN,2026-03-03,Push Notification
43876400,39345092,David Williams,30.0,Male,david18@gmail.com ,870-468-4871,SAN DIEGO,,2024-11-09,Email
53389073,41227216,Brittney Hernandez,52.0,Female,chernandez@gmail.com,739-557-9653,Columbus,,2021-10-30,Push Notification
25558733,77827638,kimberly smith,44.0,Female,bsmith@icloud.com,773-573-6049,chicago,IL,2021-09-22,Push Notification
64247457,90801586,Shawn Cole,20.0,Male,,660-990-7184,Columbus,OH,,SMS
79067939,13561597,Leslie Crawford,33.0,Female,ranger8930@icloud.com,,Seattle,WA,2019-07-04,Email
10154493,85329037,Donald Hebert,26.0,Male,ace2305@@icloud.com,347-776-9540,Austin,TX,2024-11-25,Email
98269682,36687537,Latoya Ingram,39.0,Female,david_ingram@hotmail.com,925-247-8586,Columbus,OH,,Email
82825679,97226012,Clifford Thomas,51.0,Male,charles35@hotmail.com,541-410-1251,Boston,MA,2025-03-30,
72005415,83140807,Garrett Maldonado,78.0,Male,christina_maldonado@gmail.com,580-420-7781,Dallas,TX,2019-05-05,Email
65465150,66306997,Allen Johnson,48.0,Male,laura32@outlook.com,951-914-6770,Nashville,TN,2018-08-06,Email
17275149,39587039,Christine Hodge,33.0,Female,,207-644-7739,,AZ,2020-04-24,Email
35176902,70291817,,,Male,heather_mills@gmail.com,296-515-7213,Chicago,IL,2019-07-29,SMS
79583757,89089901,Joshua Jones,45.0,Male,ranger4451@gmail.com,4137013362,Chicago,IL,2018-06-27,Push Notification
58557203,47338124,Mary Johnson,74.0,Female,jessica_johnson@gmail.com,(850) 379-8381,Houston,TX,2023-03-26,SMS
93568503,10872248,John Miller,33.0,Male,lorimiller@yahoo.com,336-189-4070,Fort Worth,,2024-06-30,SMS
76906611,31429110,Ryan Travis,53.0,Male,stravis@gmail.com,2652718121,Denver,,2026-03-07,SMS
93940940,66722344,Terry Shaffer,42.0,Male,sunny6234@gmail.com,691-421-3910,,NC,2023-06-30,SMS
69329732,55667651,Ernest Richardson,84.0,Male,robertrichardson@hotmail.com,890-611-3280,SEATTLE,WA,2019-07-19,Push Notification
16927215,47295260,Robert Thompson,39.0,Male,ranger8917@gmail.com,371-762-1725,San Jose,CA,2024-08-17,Push Notification
37321124,30868105,melissa smith,95.0,Female,dsmith@gmail.com,695-207-5840,Charlotte,NC,,SMS
45843681,38898923,NATALIE VASQUEZ,77.0,Female,,729-278-3623,Chicago,IL,,
83715012,55176955,,52.0,Female,samanthawolf@gmail.com,402-568-2867,Dallas,TX,2018-07-04,SMS
27584297,23718431,Walter Hill,52.0,Male,justin_hill@@outlook.com,724-497-7852,Denver,CO,2022-05-24,Push Notification
48658617,22448136,Virginia Carroll,31.0,Female,,626-827-8272,Indianapolis,IN,2022-05-10,SMS
68802946,60992979,Dawn Arias,34.0,Female,carias@icloud.com,,Houston,TX,2021-10-28,SMS
75056916,22981052,Faith Randall,60.0,Female,,921-399-5740,phoenix,AZ,2020-11-09,
26297533,58181396,Melissa T. Robles,43.0,Other,melissa32@icloud.com,912-998-7046,Phoenix,AZ,2021-06-07,SMS
13874790,56164955,Mark Floyd,85.0,Male,jennifer_floyd@gmail.com,842-902-8529,Austin,TX,2025-12-13,Email
94560158,91030736,Melissa Garrett,,Female,,,Fort Worth,TX,2025-01-09,Email
91721371,45503389,Chad Martinez,53.0,Male,matthew_martinez@gmail.com,825-765-3688,,TX,2020-02-01,SMS
42117961,15831819,Nathan Brooks,38.0,Male,bobby_brooks@gmail.com,411-630-9348,,CA,2021-05-04,Email
31257157,71662963,Andrew Lambert,64.0,Male,lisa_lambert@gmail.com,218-701-2106,Phoenix,AZ,2022-03-27,Email
51708177,81971316,Cory Rhodes,35.0,Male,barbara.rhodes@gmail.com,916-547-4909,CHICAGO,IL,2021-04-06,Email
83932360,26753883,Richard Singh,41.0,,richard_singh@gmail.com,+1 479 636 2046,San Jose,CA,2025-09-11,SMS
11835355,60806024,joshua ashley,69.0,Male,,384-978-1579,SAN FRANCISCO,CA,2020-12-16,Push Notification
84121929,20576383,Sarah Taylor,71.0,,rocky3666@icloud.com,209-477-4287,Los Angeles,CA,2020-05-23,
64759583,84093639,Brandon Nelson,,Male,michael.nelson@gmail.com,+1 704 161 3332,,,2025-03-26,Push Notification
22510327,49349722,James Holmes,35.0,Male,,664-378-4827,Columbus,OH,,Email
40158811,94374605,Kathleen Velez,79.0,,kathleen_velez@icloud.com,352-193-5066,Dallas,TX,2021-04-07,
25228493,93016315,Taylor Glenn,35.0,Male,robert.glenn@gmail.com,277-122-2056,Los Angeles,CA,2024-09-07,Email
71934487,58537831,,89.0,,trevor51@gmail.com,236-728-5026,,TX,,Push Notification
25766039,87490893,Jose Jones,41.0,Male,jessica3@hotmail.com,385-126-6224,San Jose,CA,2019-10-02,Push Notification
96934122,35808537,Valerie Barry,34.0,Female,robert.barry@yahoo.com,,San Diego,CA,2022-05-09,Push Notification
30665654,19335534,Paul Hall,21.0,Male,shall@icloud.com,(223) 251-3320,New York,,2023-05-07,Email
76890827,16150444,Kevin Miller,73.0,,kevin56@outlook.com,588-414-5825,,FL,2019-05-14,Email
49172995,98753260,Robert Shannon,,Male,mark.shannon@icloud.com,212-371-4435,Phoenix,AZ,,
78299645,40587988,Wendy Torres,65.0,Female,ann13@outlook.com,4682072215,Nashville,TN,2018-09-17,SMS
46698468,48840994,,31.0,Female,tiffany78@gmail.com,444-198-1813,Los Angeles,CA,2020-07-30,SMS
65766169,20709497,Samuel Smith,58.0,Male,ashley11@gmail.com,591-478-4056,austin,Texas,2024-04-11,SMS
74759996,41244663,Charles Robinson,23.0,,crobinson@gmail.com,281-504-1568,Fort Worth,TX,2018-10-17,Push Notification
73380266,23556182,dalton davis,53.0,Male,william88@gmail.com,+1 766 433 5525,Nashville,TN,2020-04-17,
42713008,61019678,Nicole Morris,,Female,ace1740@outlook.com,786-723-8750,houston,,2020-05-16,Email
71308842,47308985,Stephanie Meyer,31.0,Female,jerry.meyer@@gmail.com,962-553-6257,Austin,TX,2025-11-16,SMS
83989546,70855700,,69.0,Male,meganlewis@aol.com,668-151-6904,San Francisco,ca,2023-03-13,Push Notification
29413516,95320121,Oscar Duncan,30.0,Male,buddy9043@gmail.com,251-266-4511,San Jose,CA,2021-11-10,Email
61484043,58966946,,55.0,,paul_marshall@icloud.com,724-778-7131,Fort Worth,TX,2019-06-04,Push Notification
35583290,31831063,Laura Oneal,54.0,Female,davidoneal@@icloud.com,872-609-5843,San Diego,CA,2020-01-07,SMS
90447099,59684848,Gloria Le,87.0,Female,johnny_le@icloud.com,959-364-3999,austin,TX,2024-01-26,Push Notification
78214937,57683626,Robert Coleman,95.0,,rcoleman@outlook.com,2569913470,Boston,Prefer not to say,2024-06-29,Email
28321839,38119557,Leah Robinson,85.0,Female,gregory_robinson@outlook.com,,LOS ANGELES,,2024-01-25,Push Notification
19369750,99949389,Joshua Parsons,41.0,Male,kathleenparsons@hotmail.com,498-566-9524,San Jose,CA,2024-07-12,Push Notification
47077298,45833156,Laura Sanchez,28.0,Female,rocky369@outlook.com,878-210-1323,san francisco,CA,2025-10-27,Email
65692629,96977837,Megan Contreras,,Female,jennifercontreras@icloud.com,470-951-9571,Houston,TX,2021-05-22,Email
55617282,19583482,,41.0,Female,,471-575-1820,Chicago,IL,,Email
78147397,91756179,Sarah Taylor,73.0,Female,brittany46@outlook.com,479-955-7319,Dallas,,2023-06-17,Push Notification
45859307,95225343,Kimberly Jones,72.0,Female,rjones@gmail.com,622-551-1753,San Jose,CA,2020-12-10,Email
10344303,32969840,Diane Sanchez,40.0,Female,toddsanchez@icloud.com,+1 718 969 8688,San Jose,CA,,SMS
47962005,81691040,Christopher Wallace,61.0,Male,ronald59@outlook.com,623-136-9996,Charlotte,NC,2018-11-05,
50071487,42857966,Charles Reid,72.0,Male,randy29@gmail.com,(978) 774-4633,Seattle,WA,2019-12-03,
88777447,31931511,,39.0,,nicoleneal@icloud.com,,San Antonio,TX,2022-03-12,Email
87835998,72043515,Chad Parrish,75.0,Male,tparrish@outlook.com,,Jacksonville,FL,2024-05-28,Email
98575748,60929647,Gregory Lee,,Male,,,Nashville,TN,2021-03-08,Push Notification
75718414,46231783,Mark Ellis,73.0,Male,heidiellis@gmail.com,3057304675,Portland,OR,2023-12-13,Push Notification
29944139,95899313,,51.0,Female,,943-298-5819,DETROIT,MI,,
69934576,84752529,Jasmine Daugherty,26.0,Female,ace5425@icloud.com,275-902-6207,las vegas,nv,2019-08-06,Push Notification
82287061,39476249,Jeffrey K. Rangel,27.0,Male,christopherrangel@yahoo.com,447-757-4994,Boston,MA,2019-02-08,Email
75007200,53524491,Carmen Carlson,65.0,Female,jessica_carlson@outlook.com,887-744-4492,San Antonio,TX,2026-02-02,Push Notification
56321751,17507864,Ashley Tapia,36.0,Female,ryan_tapia@outlook.com,(218) 498-2938,chicago,IL,2025-11-05,Push Notification
54619335,40742311,Roger Gordon,,Male,william98@gmail.com,506-793-7113,Fort Worth,tx,2026-01-24,Email
84077101,14308421,Kimberly U. Lee,53.0,Female,,970-662-8557,San Francisco,,2025-06-01,Push Notification
82937948,52339391,Clayton Woodward,49.0,Male,sabrina_woodward@icloud.com,373-104-6131,Charlotte,NC,2020-08-31,Email
60628276,63843426,Xavier Houston,71.0,Male,jhouston@gmail.com,720-746-1511,Dallas,TX,2019-05-31,Push Notification
71115319,45935572,Trevor Burgess,57.0,Male,jennifer_burgess@gmail.com,657-263-3935,Charlotte,NC,2023-03-31,Push Notification
53188224,18883684,Robert Daniels,79.0,Male,david47@icloud.com,586-769-7201,Charlotte,nc,2022-09-23,SMS
35320492,38317637,Scott Sanders,59.0,Male,kimberlysandersicloud.com,+1 877 335 7793,Philadelphia,PA,2021-09-19,SMS
